snapshot_day,threshold,weighted_f1,model,training_scenario
75,0.45,0.27870408024942445,Logistic Regression,oulad_source
60,0.24,0.2774481287570236,Logistic Regression,oulad_source
60,0.58,0.2770125497398233,Logistic Regression,oulad_source
75,0.23,0.27580334334245266,Logistic Regression,oulad_source
60,0.23,0.2756965537930722,Logistic Regression,oulad_source
75,0.47,0.2739162380602494,Logistic Regression,oulad_source
75,0.46,0.27345082433200685,Logistic Regression,oulad_source
35,0.7,0.2733199598796444,Logistic Regression,oulad_source
60,0.59,0.27200250117242525,Logistic Regression,oulad_source
0,0.75,0.27151930093239407,Logistic Regression,oulad_source
75,0.48,0.2709697061957671,Logistic Regression,oulad_source
60,0.22,0.270605291772376,Logistic Regression,oulad_source
75,0.49,0.2694497153700178,Logistic Regression,oulad_source
75,0.22,0.2685367313777537,Logistic Regression,oulad_source
60,0.21,0.2670568738760923,Logistic Regression,oulad_source
75,0.21,0.2643772592836077,Logistic Regression,oulad_source
60,0.2,0.26334495013974163,Logistic Regression,oulad_source
35,0.71,0.2614209913291106,Logistic Regression,oulad_source
60,0.19,0.2597946500945641,Logistic Regression,oulad_source
60,0.6,0.25969428801287264,Logistic Regression,oulad_source
75,0.2,0.25942780261960935,Logistic Regression,oulad_source
75,0.5,0.2556119941012608,Logistic Regression,oulad_source
60,0.18,0.25549641286738684,Logistic Regression,oulad_source
60,0.61,0.2531311799604487,Logistic Regression,oulad_source
60,0.17,0.2529885654885606,Logistic Regression,oulad_source
75,0.19,0.2511631454503908,Logistic Regression,oulad_source
60,0.16,0.2501681237390671,Logistic Regression,oulad_source
0,0.76,0.2501351949265071,Logistic Regression,oulad_source
75,0.51,0.24957555178268173,Logistic Regression,oulad_source
60,0.15,0.24758110415480447,Logistic Regression,oulad_source
35,0.72,0.24624060150376376,Logistic Regression,oulad_source
75,0.18,0.24605701592003515,Logistic Regression,oulad_source
60,0.14,0.24600638977635297,Logistic Regression,oulad_source
60,0.13,0.24460834655960678,Logistic Regression,oulad_source
60,0.12,0.24332911743837632,Logistic Regression,oulad_source
75,0.17,0.24201077199282403,Logistic Regression,oulad_source
60,0.11,0.241740729390127,Logistic Regression,oulad_source
60,0.09,0.24097855595887638,Logistic Regression,oulad_source
60,0.1,0.2408549618320563,Logistic Regression,oulad_source
60,0.08,0.2407582360649695,Logistic Regression,oulad_source
60,0.05,0.24073622623110202,Logistic Regression,oulad_source
60,0.06,0.24073622623110202,Logistic Regression,oulad_source
60,0.07,0.24073622623110202,Logistic Regression,oulad_source
75,0.16,0.23833181722763103,Logistic Regression,oulad_source
60,0.62,0.23652998983395487,Logistic Regression,oulad_source
35,0.73,0.23582954075300375,Logistic Regression,oulad_source
75,0.15,0.23541474418128275,Logistic Regression,oulad_source
0,0.77,0.23515946100619484,Logistic Regression,oulad_source
75,0.52,0.2336481287163338,Logistic Regression,oulad_source
75,0.14,0.23162538854908762,Logistic Regression,oulad_source
75,0.13,0.22913580246914084,Logistic Regression,oulad_source
60,0.63,0.22776421346355086,Logistic Regression,oulad_source
75,0.12,0.22723750484308908,Logistic Regression,oulad_source
75,0.11,0.22555959441362652,Logistic Regression,oulad_source
75,0.53,0.22528653295128898,Logistic Regression,oulad_source
75,0.1,0.22426889479681464,Logistic Regression,oulad_source
75,0.09,0.2227041297378891,Logistic Regression,oulad_source
75,0.08,0.2221179121291825,Logistic Regression,oulad_source
75,0.07,0.22149410222805205,Logistic Regression,oulad_source
75,0.06,0.22132834424696465,Logistic Regression,oulad_source
75,0.05,0.2213076419418251,Logistic Regression,oulad_source
35,0.74,0.21805792163543825,Logistic Regression,oulad_source
75,0.54,0.2178107606679033,Logistic Regression,oulad_source
60,0.64,0.21037515706336377,Logistic Regression,oulad_source
35,0.75,0.20757486788021504,Logistic Regression,oulad_source
75,0.55,0.2048705063780441,Logistic Regression,oulad_source
75,0.56,0.19959839357429746,Logistic Regression,oulad_source
60,0.65,0.19530102790014656,Logistic Regression,oulad_source
75,0.57,0.19265676567656798,Logistic Regression,oulad_source
35,0.76,0.1925948499162003,Logistic Regression,oulad_source
0,0.78,0.18500834148306114,Logistic Regression,oulad_source
60,0.66,0.17588706600534101,Logistic Regression,oulad_source
35,0.77,0.17588652482269818,Logistic Regression,oulad_source
75,0.58,0.16599276441796165,Logistic Regression,oulad_source
0,0.79,0.15945962245944395,Logistic Regression,oulad_source
35,0.78,0.15904637491835688,Logistic Regression,oulad_source
60,0.67,0.15702479338842923,Logistic Regression,oulad_source
75,0.59,0.15109170305676903,Logistic Regression,oulad_source
35,0.79,0.1487325835151949,Logistic Regression,oulad_source
60,0.68,0.13937699680511134,Logistic Regression,oulad_source
75,0.6,0.13836197277393483,Logistic Regression,oulad_source
60,0.69,0.13538710985001978,Logistic Regression,oulad_source
35,0.8,0.13381742738589453,Logistic Regression,oulad_source
75,0.61,0.12368781378366085,Logistic Regression,oulad_source
35,0.81,0.11530886302596453,Logistic Regression,oulad_source
0,0.8,0.1131039765111397,Logistic Regression,oulad_source
60,0.7,0.11132035990793016,Logistic Regression,oulad_source
75,0.62,0.10902255639097781,Logistic Regression,oulad_source
60,0.71,0.10771840542832871,Logistic Regression,oulad_source
35,0.82,0.1070780399274067,Logistic Regression,oulad_source
75,0.63,0.10700757575757612,Logistic Regression,oulad_source
60,0.72,0.09986973512809345,Logistic Regression,oulad_source
35,0.83,0.09735488611315393,Logistic Regression,oulad_source
75,0.64,0.09542262048922287,Logistic Regression,oulad_source
0,0.81,0.0903490759753606,Logistic Regression,oulad_source
35,0.84,0.08406830549821898,Logistic Regression,oulad_source
75,0.65,0.07690411634212493,Logistic Regression,oulad_source
60,0.73,0.07433785889160895,Logistic Regression,oulad_source
60,0.74,0.07136445242369817,Logistic Regression,oulad_source
75,0.66,0.06889665501747398,Logistic Regression,oulad_source
60,0.75,0.06524694154961469,Logistic Regression,oulad_source
35,0.85,0.06373117033603841,Logistic Regression,oulad_source
0,0.82,0.06356134488167586,Logistic Regression,oulad_source
75,0.67,0.05662285136501532,Logistic Regression,oulad_source
60,0.76,0.05634448007329348,Logistic Regression,oulad_source
35,0.86,0.056304985337244595,Logistic Regression,oulad_source
60,0.77,0.051163862641161406,Logistic Regression,oulad_source
